user_id,item_id,title,actual_rating,predicted_rating
A2RYSCZOPEXOCQ,B0002564EE,Kordon Oasis (Novalek) Bell Bottle 8oz,5.0,5.0
A141OPVE376YFI,B000050FDY,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5.0,1.0
A1TVTDKNMSQ7XU,B000068PBO,Norelco 5810XL Reflex Action Shaving System,5.0,5.0
A3J0LOCVOIEDNE,B0017TZD7S,"AXE Shower Tool, Detailer 1 ea, Pack of 4",5.0,5.0
AD1WVH9MP1ZS6,B00G5L867C,"Philips Sonicare Sonic Electric Rechargeable Toothbrush for Kids, HX6311/07",5.0,5.0
AI6UBVJ1SXJEJ,B0013NB7DW,"Williams Lectric Shave, 7 Ounce",5.0,5.0
AVWIQEW3S4K7Z,B003X9YAL0,Hesh Rose petal powder Herbal 100gms,4.0,4.0
A2AHHKQAG09J41,B0000530HU,"Aqua Velva After Shave, Classic Ice Blue, 7 Ounce",5.0,5.0
A10ZBR6O8S8OCY,B00L1BLGSW,SK-II Cellumination Aurabright Illuminating Essence,4.0,4.0
A2X3HY225S0L3T,B0013NB7DW,"Williams Lectric Shave, 7 Ounce",5.0,5.0
AVZNYJVJ7HJ9M,B0168SXRR0,"Best Crystal Glass Nail File for Women, Protective Travel Case, Professional Salon Fingernail Files for Pretty Manicure, Great for Natural, Gel and Acrylic Fake Nails, Better Emery Boards",3.0,3.0
ABPNZ9RKXOP0E,B000V5Z4J6,Philips Sonicare UV Sanitizer,5.0,0
